ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.020    2.020  442.600  442.600 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:241(render)
   147495    9.377    0.000  249.251    0.002 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:164(cast_rays)
  8506146   68.609    0.000  200.699    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:192(intersection_point)
   147495   10.460    0.000  189.578    0.001 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:84(define_areas)
119253188  131.135    0.000  131.135    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:66(intersection)
  4424850   43.316    0.000  115.526    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:99(get_angle)
 12979560   45.734    0.000   94.822    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\linalg\linalg.py:2293(norm)
  2064930   19.015    0.000   49.437    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:85(get_relative_angle)
  1132193   17.295    0.000   29.077    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:211(closest_point)
 19469340   18.845    0.000   18.845    0.000 {built-in method numpy.dot}
 19716563   17.934    0.000   17.934    0.000 {built-in method numpy.array}
 14701733    4.109    0.000   16.755    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\numeric.py:469(asarray)
  1722173    3.209    0.000   14.471    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:54(_wrapfunc)
  1427183    1.067    0.000   13.418    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:1110(argmin)
  1722173    3.146    0.000   10.151    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:41(_wrapit)
  4294859    6.932    0.000    9.699    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:173(draw_ray)
 12979560    9.621    0.000    9.621    0.000 {method 'astype' of 'numpy.ndarray' objects}
 12979560    6.878    0.000    6.878    0.000 {method 'ravel' of 'numpy.ndarray' objects}
 12979560    3.692    0.000    5.148    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\linalg\linalg.py:121(isComplexType)
 25959120    3.476    0.000    3.476    0.000 {built-in method builtins.issubclass}
   147495    1.858    0.000    2.649    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:110(generate_degrees)
 25245530    2.362    0.000    2.362    0.000 {method 'append' of 'list' objects}
   294990    0.181    0.000    2.300    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:1041(argmax)
  1427183    1.839    0.000    1.839    0.000 {method 'argmin' of 'numpy.ndarray' objects}
  8553914    1.760    0.000    1.760    0.000 {built-in method math.degrees}
   160000    0.219    0.000    1.559    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:2171(all)
  3444428    1.427    0.000    1.427    0.000 {built-in method builtins.getattr}
   160000    0.429    0.000    1.341    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
 11709108    1.124    0.000    1.124    0.000 {built-in method builtins.abs}
  4294859    1.040    0.000    1.040    0.000 {built-in method math.cos}
