ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.863    1.863  354.064  354.064 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:249(render)
   147495    8.882    0.000  232.376    0.002 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:172(cast_rays)
  8506146   63.547    0.000  186.215    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:200(intersection_point)
119253188  121.755    0.000  121.755    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:66(intersection)
   147495    9.835    0.000  118.236    0.001 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:84(define_areas)
  4424850   42.817    0.000   57.649    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:102(get_angle)
  2064930   30.066    0.000   37.474    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:85(get_relative_angle)
  1132193   16.518    0.000   27.617    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:219(closest_point)
  6489780   17.700    0.000   17.700    0.000 {built-in method numpy.dot}
  1722173    2.932    0.000   13.736    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:54(_wrapfunc)
  1427183    1.011    0.000   12.707    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:1110(argmin)
  1722173    2.955    0.000    9.758    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:41(_wrapit)
  4294859    6.691    0.000    9.288    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:181(draw_ray)
  6737003    8.762    0.000    8.762    0.000 {built-in method numpy.array}
  1722173    0.591    0.000    4.440    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\numeric.py:469(asarray)
 12979560    2.782    0.000    2.782    0.000 {built-in method math.sqrt}
   147495    1.704    0.000    2.466    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:118(generate_degrees)
   294990    0.181    0.000    2.220    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:1041(argmax)
 25245530    2.155    0.000    2.155    0.000 {method 'append' of 'list' objects}
  1427183    1.729    0.000    1.729    0.000 {method 'argmin' of 'numpy.ndarray' objects}
  8553914    1.432    0.000    1.432    0.000 {built-in method math.degrees}
   160000    0.206    0.000    1.404    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:2171(all)
  3444428    1.361    0.000    1.361    0.000 {built-in method builtins.getattr}
   160000    0.378    0.000    1.198    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
 11709108    1.062    0.000    1.062    0.000 {built-in method builtins.abs}
