ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.513    2.513  741.627  741.627 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:239(render)
   147495   16.805    0.000  501.181    0.003 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:164(cast_rays)
 17095419  137.688    0.000  400.821    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:190(intersection_point)
239798412  261.199    0.000  261.199    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:66(intersection)
   147495    9.040    0.000  235.423    0.002 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:84(define_areas)
  4424850   58.926    0.000  146.414    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:99(get_angle)
 12979560   52.643    0.000  118.174    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\linalg\linalg.py:2293(norm)
  2064930   30.346    0.000   70.198    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:85(get_relative_angle)
  2264237   38.041    0.000   62.832    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:209(closest_point)
 15833777    4.984    0.000   33.437    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\numeric.py:469(asarray)
 15833777   28.453    0.000   28.453    0.000 {built-in method numpy.array}
  2854217    5.479    0.000   25.507    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:54(_wrapfunc)
  2559227    2.122    0.000   25.326    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:1110(argmin)
 19469340   21.670    0.000   21.670    0.000 {built-in method numpy.dot}
  8663346   14.012    0.000   19.739    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:171(draw_ray)
  2854217    5.492    0.000   18.048    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:41(_wrapit)
 12979560   10.707    0.000   10.707    0.000 {method 'astype' of 'numpy.ndarray' objects}
 12979560    7.258    0.000    7.258    0.000 {method 'ravel' of 'numpy.ndarray' objects}
 12979560    3.795    0.000    5.303    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\linalg\linalg.py:121(isComplexType)
 45500738    4.383    0.000    4.383    0.000 {method 'append' of 'list' objects}
 25959120    3.685    0.000    3.685    0.000 {built-in method builtins.issubclass}
  2559227    3.431    0.000    3.431    0.000 {method 'argmin' of 'numpy.ndarray' objects}
   147495    2.026    0.000    2.936    0.000 C:/Users/Xsan6/PycharmProjects/Light rendering/render_experiments.py:110(generate_degrees)
  5708516    2.551    0.000    2.551    0.000 {built-in method builtins.getattr}
   294990    0.225    0.000    2.527    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:1041(argmax)
   160000    0.358    0.000    2.312    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:2171(all)
  8663346    2.164    0.000    2.164    0.000 {built-in method math.cos}
 21348982    2.008    0.000    2.008    0.000 {built-in method builtins.abs}
   160000    0.589    0.000    1.954    0.000 C:\Users\Xsan6\Anaconda3\envs\tf_gpu\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
  8663346    1.924    0.000    1.924    0.000 {built-in method math.radians}
  8553914    1.912    0.000    1.912    0.000 {built-in method math.degrees}
  8663346    1.640    0.000    1.640    0.000 {built-in method math.sin}
   160000    1.194    0.000    1.194    0.000 {method 'reduce' of 'numpy.ufunc' objects}
